os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16309452,5.8.9-zen2-1-zen,4.6.0 NVIDIA 450.66
fps,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
59.8492,12,20,42,37,683,810,0.335205,4.53123,2544
59.9909,12,20,42,37,683,810,0.335205,4.53123,102619
59.9458,12,20,42,37,683,810,0.335205,4.53123,202688
59.9915,12,20,42,37,683,810,0.335205,4.53123,302763
59.9825,23,18,42,37,683,810,0.337158,4.53033,402825
60.1082,23,18,42,37,683,810,0.337158,4.53033,502898
59.9661,23,18,42,37,683,810,0.337158,4.53033,602976
60.0182,23,18,42,37,683,810,0.337158,4.53033,703076
59.9757,23,18,42,37,683,810,0.337158,4.53033,803146
59.9783,12,21,40,37,683,810,0.337158,4.53062,903190
60.0132,12,21,40,37,683,810,0.337158,4.53062,1003272
60.0084,12,21,40,37,683,810,0.337158,4.53062,1103345
60.0104,12,21,40,37,683,810,0.337158,4.53062,1203740
60.0419,12,21,40,37,683,810,0.337158,4.53062,1304046
60.0242,12,21,40,37,683,810,0.337158,4.53062,1404245
59.9592,27,21,40,36,683,810,0.337158,4.53096,1504331
60.0332,27,21,40,36,683,810,0.337158,4.53096,1604399
59.9914,27,21,40,36,683,810,0.337158,4.53096,1704496
59.995,27,21,40,36,683,810,0.337158,4.53096,1804592
60.0089,27,21,40,36,683,810,0.337158,4.53096,1904662
60.1025,37,21,40,36,683,810,0.337158,4.53032,2004736
60.0446,37,21,40,36,683,810,0.337158,4.53032,2104847
59.9788,37,21,40,36,683,810,0.337158,4.53032,2204935
60.0409,37,21,40,36,683,810,0.337158,4.53032,2305011
59.9884,37,21,40,36,683,810,0.337158,4.53032,2405104
185.334,22,20,40,36,683,810,0.337158,4.5299,2505174
80.4166,22,20,40,36,683,810,0.337158,4.5299,2605234
69.4174,22,20,40,36,683,810,0.337158,4.5299,2705318
66.3801,22,20,40,36,683,810,0.337158,4.5299,2805403
64.8399,22,20,40,36,683,810,0.337158,4.5299,2905489
63.9047,17,21,40,36,683,810,0.33728,4.5298,3005570
60.0619,17,21,40,36,683,810,0.33728,4.5298,3105643
59.991,17,21,40,36,683,810,0.33728,4.5298,3205722
