os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16305176,5.10.3-zen1-1-zen,4.6.0 NVIDIA 455.45.01
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
59.5309,18422,51.8519,74,55,61,1366,3505,3.37976,5.24292,2407984
60.5455,9611,51.8519,74,55,61,1366,3505,3.37976,5.24292,105078846
59.8021,16774,51.8519,74,55,61,1366,3505,3.37976,5.24292,205137997
60.4761,16718,51.8519,74,55,61,1366,3505,3.37976,5.24292,305196048
59.6467,18743,55.5556,74,55,61,1366,3505,3.37976,5.24589,405251717
60.5041,16618,55.5556,74,55,61,1366,3505,3.37976,5.24589,505328763
60.3224,16571,55.5556,74,55,61,1366,3505,3.37976,5.24589,605385092
60.2287,19816,55.5556,74,55,61,1366,3505,3.37976,5.24589,705440152
60.7895,15096,55.5556,74,55,61,1366,3505,3.37976,5.24589,805495502
62.2743,16130,52.4752,74,52,61,1366,3505,3.37976,5.24075,905553662
62.6674,10240,52.4752,74,52,61,1366,3505,3.37976,5.24075,1005608911
59.9901,22536,52.4752,74,52,61,1366,3505,3.37976,5.24075,1105666285
60.918,10741,52.4752,74,52,61,1366,3505,3.37976,5.24075,1205721473
60.5859,15046,52.4752,74,52,61,1366,3505,3.37976,5.24075,1305773815
59.6694,10161,52.2168,74,52,61,1366,3505,3.37976,5.24881,1405843182
59.7129,10027,52.2168,74,52,61,1366,3505,3.37976,5.24881,1505898825
59.4526,10716,52.2168,74,52,61,1366,3505,3.37976,5.24881,1605955439
60.0474,9618,52.2168,74,52,61,1366,3505,3.37976,5.24881,1706012899
59.516,19431,52.2168,74,52,61,1366,3505,3.37976,5.24881,1806068697
59.6748,10829,51.7766,74,53,61,1366,3505,3.37976,5.24123,1906124918
59.729,13200,51.7766,74,53,61,1366,3505,3.37976,5.24123,2006180433
59.1276,21133,51.7766,74,53,61,1366,3505,3.37976,5.24123,2106205717
59.9923,9655,51.7766,74,53,61,1366,3505,3.37976,5.24123,2206260949
60.0813,15738,51.7766,74,53,61,1366,3505,3.37976,5.24123,2306315690
64.8522,14082,51.6908,74,53,61,1366,3505,3.37976,5.23782,2406373257
60.4611,17622,51.6908,74,53,61,1366,3505,3.37976,5.23782,2506443767
60.8258,14884,51.6908,74,53,61,1366,3505,3.37976,5.23782,2606502002
60.505,9727,51.6908,74,53,61,1366,3505,3.37976,5.23782,2706558064
60.3647,9589,51.6908,74,53,61,1366,3505,3.37976,5.23782,2806613825
