os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16304460,5.11.16-zen1-1-zen,4.6 Mesa 21.0.3
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
23.6919,41267,50,0,59,68,1000,1500,2.51687,6.60412,355696
22.7227,51210,50,0,59,68,1000,1500,2.51687,6.60412,100413954
22.6346,42572,50,0,59,68,1000,1500,2.51687,6.60412,200471183
22.4775,43747,50,0,59,68,1000,1500,2.51687,6.60412,300544378
22.3126,45859,47.973,0,64,68,1000,1500,2.51687,6.60274,400611471
22.1423,44892,47.973,0,64,68,1000,1500,2.51687,6.60274,500672338
21.7859,48914,47.973,0,64,68,1000,1500,2.51687,6.60274,600689459
22.3639,40006,47.973,0,64,68,1000,1500,2.51687,6.60274,700758807
21.9866,48484,47.973,0,64,68,1000,1500,2.51687,6.60274,800831240
22.185,40998,47.973,0,64,68,1000,1500,2.51687,6.60274,900846476
23.075,43337,45.4545,0,64,68,1000,1500,2.51687,6.60218,1000902788
23.3127,45281,45.4545,0,64,68,1000,1500,2.51687,6.60218,1100959696
23.7,41161,45.4545,0,64,68,1000,1500,2.51687,6.60218,1201031052
23.3055,43694,45.4545,0,64,68,1000,1500,2.51687,6.60218,1301088093
22.8575,45515,45.4545,0,64,68,1000,1500,2.51687,6.60218,1401154234
21.3452,46849,51.6746,0,61,68,1000,1500,2.51687,6.60308,1501197983
23.7072,40859,51.6746,0,61,68,1000,1500,2.51687,6.60308,1601239544
23.8815,40715,51.6746,0,61,68,1000,1500,2.51687,6.60308,1701299006
23.1056,51716,51.6746,0,61,68,1000,1500,2.51687,6.60308,1801355070
21.4284,54596,51.6746,0,61,68,1000,1500,2.51687,6.60308,1901410734
20.813,54844,51.9048,0,61,68,1000,1500,2.51688,6.60094,2001480346
19.2278,49744,51.9048,0,61,68,1000,1500,2.51688,6.60094,2101547790
22.1246,39844,51.9048,0,61,68,1000,1500,2.51688,6.60094,2201605854
21.9024,48034,51.9048,0,61,68,1000,1500,2.51688,6.60094,2301635955
22.4782,40438,51.9048,0,61,68,1000,1500,2.51688,6.60094,2401691828
