os,cpu,gpu,ram,kernel,driver
Arch Linux,Intel Core i5-4670K CPU @ 3.40GHz,,16309452,5.8.9-zen2-1-zen,4.6.0 NVIDIA 450.66
fps,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
59.5868,14,15,42,37,162,324,0.324646,4.31709,1269
60.014,14,15,42,37,162,324,0.324646,4.31709,101328
60.0404,14,15,42,37,162,324,0.324646,4.31709,201400
60.0066,18,26,40,37,162,324,0.327576,4.31697,301483
59.8247,18,26,40,37,162,324,0.327576,4.31697,401558
59.8985,18,26,40,37,162,324,0.327576,4.31697,501664
59.955,18,26,40,37,162,324,0.327576,4.31697,601736
59.9855,18,26,40,37,162,324,0.327576,4.31697,701795
59.9928,23,30,40,37,162,324,0.327576,4.3173,801867
60.2198,23,30,40,37,162,324,0.327576,4.3173,901952
59.9221,23,30,40,37,162,324,0.327576,4.3173,1002037
59.9758,23,30,40,37,162,324,0.327576,4.3173,1102116
60.0066,23,30,40,37,162,324,0.327576,4.3173,1202193
60.0462,23,30,40,37,162,324,0.327576,4.3173,1302268
60.1207,10,15,40,37,162,324,0.327576,4.31658,1402345
60.0266,10,15,40,37,162,324,0.327576,4.31658,1502415
60.021,10,15,40,37,162,324,0.327576,4.31658,1602488
60.0166,10,15,40,37,162,324,0.327576,4.31658,1702566
60.0132,10,15,40,37,162,324,0.327576,4.31658,1802639
60.006,7,15,40,37,162,324,0.327576,4.31762,1902724
59.9761,7,15,40,37,162,324,0.327576,4.31762,2002799
60.1255,7,15,40,37,162,324,0.327576,4.31762,2102887
59.9978,7,15,40,37,162,324,0.327576,4.31762,2202971
59.9966,7,15,40,37,162,324,0.327576,4.31762,2303077
60.2144,8,16,39,37,162,324,0.327576,4.31755,2403186
60.2502,8,16,39,37,162,324,0.327576,4.31755,2503273
60.0089,8,16,39,37,162,324,0.327576,4.31755,2603368
60.1077,8,16,39,37,162,324,0.327576,4.31755,2703453
60.0043,8,16,39,37,162,324,0.327576,4.31755,2803542
59.6143,17,15,39,37,162,324,0.327576,4.31771,2903614
