Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,2409
    2,10.660,10.660,5506
    3,24.479,13.819,5506
    4,42.068,17.589,5506
    5,60.160,18.092,5506
    6,82.745,22.585,5506
    7,97.841,15.096,5506
    8,113.357,15.516,5506
    9,128.595,15.238,5506
   10,141.111,12.516,5506
   11,156.872,15.761,5506
   12,170.942,14.070,5506
   13,191.198,20.256,5510
   14,213.315,22.117,5510
   15,230.115,16.800,5510
   16,246.831,16.716,5510
   17,265.228,18.397,5510
   18,283.592,18.364,5510
   19,302.180,18.588,5510
   20,318.465,16.285,5510
   21,334.228,15.763,5510
   22,355.360,21.132,5510
   23,370.691,15.331,5510
   24,386.773,16.082,5510
   25,405.580,18.807,5510
   26,423.740,18.160,5510
   27,436.811,13.071,5510
   28,451.167,14.356,5510
   29,465.351,14.184,5510
   30,481.434,16.083,5510
   31,500.536,19.102,5510
   32,517.736,17.200,5510
   33,532.734,14.998,5510
   34,548.828,16.094,5510
   35,566.207,17.379,5510
   36,584.050,17.843,5510
   37,599.459,15.409,5510
   38,615.652,16.193,5506
   39,629.046,13.394,5503
   40,652.346,23.300,5500
   41,661.843, 9.497,5500
   42,676.330,14.487,5500
   43,695.693,19.363,5500
   44,714.058,18.365,5500
   45,728.383,14.325,5500
   46,741.307,12.924,5500
   47,757.161,15.854,5500
   48,774.321,17.160,5500
   49,792.271,17.950,5500
   50,807.381,15.110,5500
   51,820.528,13.147,5500
   52,840.121,19.593,5500
   53,862.402,22.281,5500
   54,880.112,17.710,5500
   55,897.388,17.276,5500
   56,916.526,19.138,5500
   57,935.740,19.214,5500
   58,950.199,14.459,5500
   59,958.766, 8.567,5500
   60,976.649,17.883,5500
   61,992.578,15.929,5500
   62,1008.685,16.107,5500
   63,1029.365,20.680,5500
   64,1045.326,15.961,5500
   65,1065.772,20.446,5500
   66,1082.124,16.352,5500
   67,1093.013,10.889,5500
   68,1108.645,15.632,5500
   69,1125.068,16.423,5500
   70,1137.912,12.844,5500
   71,1155.014,17.102,5500
   72,1177.527,22.513,5500
   73,1192.714,15.187,5500
   74,1215.354,22.640,5500
   75,1232.350,16.996,5500
   76,1248.937,16.587,5500
   77,1268.016,19.079,5500
   78,1289.267,21.251,5500
   79,1302.620,13.353,5500
   80,1315.813,13.193,5500
   81,1327.790,11.977,5500
   82,1341.675,13.885,5500
   83,1356.033,14.358,5500
   84,1381.810,25.777,5500
   85,1397.221,15.411,5500
   86,1413.393,16.172,5500
   87,1430.381,16.988,5500
   88,1441.122,10.741,5500
   89,1462.987,21.865,5500
   90,1476.771,13.784,5500
   91,1491.692,14.921,5500
   92,1510.563,18.871,5500
   93,1524.029,13.466,5500
   94,1539.714,15.685,5500
   95,1550.350,10.636,5500
   96,1566.047,15.697,5500
   97,1584.724,18.677,5500
   98,1601.560,16.836,5500
   99,1614.044,12.484,5500
  100,1632.917,18.873,5500
  101,1650.723,17.806,5500
  102,1662.849,12.126,5500
  103,1677.146,14.297,5500
  104,1693.728,16.582,5500
  105,1707.386,13.658,5500
  106,1726.467,19.081,5500
  107,1744.012,17.545,5500
  108,1758.131,14.119,5500
  109,1772.723,14.592,5500
  110,1795.684,22.961,5500
  111,1806.389,10.705,5500
  112,1820.752,14.363,5500
  113,1833.725,12.973,5500
  114,1849.475,15.750,5500
  115,1866.255,16.780,5500
  116,1887.800,21.545,5500
  117,1897.728, 9.928,5500
  118,1914.068,16.340,5500
  119,1932.320,18.252,5500
  120,1953.549,21.229,5500
  121,1966.302,12.753,5500
  122,1982.213,15.911,5500
  123,1997.851,15.638,5500
  124,2011.302,13.451,5500
  125,2028.349,17.047,5500
  126,2042.142,13.793,5500
  127,2055.541,13.399,5500
  128,2081.002,25.461,5500
  129,2101.696,20.694,5500
  130,2109.330, 7.634,5500
  131,2126.176,16.846,5500
  132,2146.113,19.937,5500
  133,2157.498,11.385,5500
  134,2173.502,16.004,5500
  135,2188.428,14.926,5500
  136,2204.166,15.738,5500
  137,2217.964,13.798,5500
  138,2246.280,28.316,5500
  139,2262.738,16.458,5500
  140,2278.254,15.516,5500
  141,2293.878,15.624,5500
  142,2304.551,10.673,5500
  143,2320.198,15.647,5499
  144,2337.494,17.296,5499
  145,2351.592,14.098,5499
  146,2365.821,14.229,5499
  147,2389.126,23.305,5499
  148,2405.773,16.647,5499
  149,2418.914,13.141,5499
  150,2436.140,17.226,5499
  151,2446.602,10.462,5499
  152,2457.162,10.560,5499
  153,2477.611,20.449,5499
  154,2490.324,12.713,5499
  155,2506.815,16.491,5498
  156,2522.075,15.260,5498
  157,2540.122,18.047,5498
  158,2556.259,16.137,5498
  159,2568.019,11.760,5498
  160,2588.819,20.800,5498
